block,time_s,raw_az_N,raw_az_S,raw_az_E,raw_az_W,raw_el_N,raw_el_S,raw_el_E,raw_el_W,smooth_az_N,smooth_az_S,smooth_az_E,smooth_az_W,smooth_el_N,smooth_el_S,smooth_el_E,smooth_el_W,centroid_x_m,centroid_y_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m,mean_dist_m
0,57.000,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,12.0,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,12.0,-741.162,-529.616,782.409,745.021,799.867,732.011,764.827
1,57.100,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.0,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.5,-752.447,-535.375,792.480,755.134,809.987,742.049,774.913
2,57.200,-106.0,-138.0,-146.0,-118.0,16.0,16.0,16.0,11.0,-103.3,-138.0,-146.0,-118.0,15.3,16.0,16.0,11.3,-750.383,-541.454,793.956,756.273,811.343,743.461,776.258
3,57.300,-106.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,10.0,-104.0,-138.0,-146.0,-118.5,15.5,16.0,16.0,11.0,-754.498,-550.056,800.676,762.715,817.982,750.109,782.870
4,57.400,-103.0,-138.0,-146.0,-117.0,16.0,16.0,16.0,10.0,-103.8,-138.0,-146.0,-118.2,15.6,16.0,16.0,10.8,-759.208,-550.235,803.833,765.992,821.194,753.274,786.073
5,57.500,-103.0,-138.0,-146.0,-115.0,16.0,17.0,16.0,12.0,-103.7,-138.0,-146.0,-117.7,15.7,16.2,16.0,11.0,-752.899,-542.591,796.131,758.465,813.532,745.631,778.440
6,57.600,-103.0,-138.0,-143.0,-118.0,16.0,16.0,16.0,11.0,-103.6,-138.0,-145.6,-117.7,15.7,16.1,16.0,11.0,-753.694,-541.650,796.213,758.612,813.638,745.724,778.547
7,57.700,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.0,-103.4,-138.0,-145.6,-117.8,15.6,16.1,16.0,11.0,-755.026,-541.672,797.096,759.530,814.537,746.609,779.443
8,57.800,-102.0,-138.0,-146.0,-120.0,15.0,16.0,16.0,12.0,-103.2,-138.0,-145.7,-118.0,15.6,16.1,16.0,11.1,-752.703,-541.317,795.409,757.796,812.827,744.921,777.738
9,57.900,-106.0,-138.0,-146.0,-118.0,13.0,16.0,16.0,13.0,-103.5,-138.0,-145.7,-118.0,15.3,16.1,16.0,11.3,-751.505,-540.959,794.458,756.829,811.867,743.970,776.781
10,58.000,-104.0,-139.0,-146.0,-116.0,14.0,16.0,16.0,12.0,-103.7,-138.1,-145.7,-117.8,15.2,16.1,16.0,11.3,-753.027,-541.352,795.637,758.032,813.059,745.149,777.969
11,58.100,-106.0,-139.0,-143.0,-118.0,16.0,16.0,16.0,12.0,-104.1,-138.2,-145.4,-117.8,15.3,16.1,16.0,11.4,-749.414,-540.905,793.065,755.381,810.450,742.574,775.367
12,58.200,-107.0,-138.0,-143.0,-120.0,14.0,16.0,16.0,13.0,-104.2,-138.2,-145.1,-118.0,15.1,16.1,16.0,11.6,-748.013,-539.862,791.662,753.988,809.046,741.178,773.968
13,58.300,-107.0,-139.0,-144.0,-119.0,14.0,15.0,17.0,11.0,-104.3,-138.3,-144.9,-117.9,14.9,16.0,16.1,11.7,-749.356,-539.052,792.163,754.562,809.575,741.689,774.497
14,58.400,-107.0,-138.0,-144.0,-117.0,14.0,16.0,17.0,10.0,-104.7,-138.3,-144.7,-117.9,14.7,16.0,16.2,11.7,-751.897,-539.826,794.187,756.620,811.618,743.711,776.534
15,58.500,-109.0,-139.0,-146.0,-118.0,13.0,16.0,16.0,11.0,-105.3,-138.4,-144.7,-118.2,14.4,15.9,16.2,11.6,-758.428,-547.214,801.909,764.183,819.306,751.377,784.194
16,58.600,-107.0,-138.0,-146.0,-118.0,14.0,16.0,16.0,12.0,-105.7,-138.4,-145.0,-118.2,14.2,15.9,16.2,11.7,-758.185,-549.142,802.652,764.833,820.017,752.102,784.901
17,58.700,-107.0,-139.0,-146.0,-120.0,15.0,16.0,16.0,11.0,-106.2,-138.5,-145.0,-118.4,14.2,15.9,16.2,11.7,-756.918,-552.311,803.315,765.318,820.616,752.732,785.495
18,58.800,-108.0,-138.0,-146.0,-117.0,16.0,16.0,16.0,12.0,-106.8,-138.5,-145.0,-118.1,14.3,15.9,16.2,11.7,-755.283,-552.890,802.523,764.456,819.796,751.932,784.677
19,58.900,-108.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,12.0,-107.0,-138.5,-145.0,-118.3,14.6,15.9,16.2,11.6,-752.023,-554.381,801.109,762.886,818.318,750.498,783.203
20,59.000,-106.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,11.0,-107.2,-138.4,-145.0,-118.7,14.8,15.9,16.2,11.5,-750.317,-557.041,801.268,762.879,818.415,750.630,783.298
21,59.100,-106.0,-138.0,-146.0,-121.0,16.0,16.0,14.0,11.0,-107.2,-138.3,-145.3,-119.0,14.8,15.9,16.0,11.4,-752.937,-562.282,805.464,766.916,822.564,754.786,787.433
22,59.200,-107.0,-138.0,-146.0,-121.0,15.0,16.0,16.0,11.0,-107.2,-138.3,-145.6,-119.1,14.9,15.9,16.0,11.2,-755.091,-565.521,808.408,769.775,825.485,757.705,790.343
23,59.300,-110.0,-141.0,-145.0,-118.0,14.0,15.0,14.0,11.0,-107.5,-138.5,-145.7,-119.0,14.9,15.9,15.7,11.2,-756.611,-570.364,811.715,772.913,828.738,760.975,793.585
24,59.400,-110.0,-140.0,-146.0,-118.0,14.0,16.0,16.0,11.0,-107.8,-138.7,-145.9,-119.1,14.9,15.9,15.6,11.3,-753.268,-572.789,810.734,771.736,827.679,759.969,792.529
25,59.500,-110.0,-138.0,-145.0,-121.0,14.0,16.0,14.0,11.0,-107.9,-138.6,-145.8,-119.4,15.0,15.9,15.4,11.3,-753.177,-576.047,812.257,773.115,829.150,761.465,793.997
26,59.600,-110.0,-141.0,-146.0,-119.0,14.0,15.0,15.0,11.0,-108.2,-138.9,-145.8,-119.5,15.0,15.8,15.3,11.2,-756.001,-581.982,816.956,777.638,833.796,766.122,798.628
27,59.700,-110.0,-141.0,-146.0,-122.0,14.0,15.0,16.0,11.0,-108.5,-139.1,-145.8,-119.7,14.9,15.7,15.3,11.2,-757.052,-586.083,819.634,780.171,836.424,768.770,801.250
28,59.800,-109.0,-141.0,-146.0,-118.0,13.0,15.0,16.0,11.0,-108.6,-139.4,-145.8,-119.8,14.6,15.6,15.3,11.1,-763.895,-591.585,826.703,787.196,843.498,775.808,808.301
29,59.900,-109.0,-141.0,-146.0,-122.0,13.0,15.0,16.0,12.0,-108.7,-139.7,-145.8,-120.0,14.3,15.5,15.3,11.1,-768.197,-596.302,831.767,792.180,848.545,780.843,813.334
30,60.000,-110.0,-141.0,-146.0,-122.0,15.0,15.0,16.0,10.0,-109.1,-140.0,-145.8,-120.2,14.2,15.4,15.3,11.0,-771.433,-602.624,836.945,797.184,853.669,785.980,818.444
31,60.100,-108.0,-141.0,-151.0,-117.0,16.0,15.0,17.0,12.0,-109.3,-140.3,-146.3,-119.8,14.2,15.3,15.6,11.1,-765.728,-599.474,831.755,791.970,848.455,780.805,813.246
32,60.200,-108.0,-140.0,-148.0,-120.0,16.0,16.0,18.0,11.0,-109.4,-140.5,-146.5,-119.7,14.3,15.3,15.8,11.1,-761.385,-597.411,827.972,788.154,844.647,777.031,809.451
33,60.300,-109.0,-140.0,-146.0,-121.0,16.0,16.0,16.0,11.0,-109.3,-140.4,-146.6,-120.0,14.5,15.4,16.0,11.1,-754.945,-593.868,822.126,782.279,838.773,771.202,803.595
34,60.400,-106.0,-140.0,-146.0,-120.0,16.0,16.0,16.0,12.0,-108.9,-140.4,-146.6,-120.2,14.7,15.4,16.0,11.2,-749.333,-590.869,817.078,777.203,833.698,766.170,798.537
35,60.500,-108.0,-141.0,-145.0,-120.0,16.0,15.0,14.0,12.0,-108.7,-140.7,-146.6,-120.1,14.9,15.3,16.0,11.3,-744.460,-589.207,813.165,773.225,829.747,762.263,794.600
36,60.600,-109.0,-141.0,-145.0,-122.0,16.0,15.0,14.0,13.0,-108.6,-140.7,-146.5,-120.4,15.1,15.3,15.9,11.5,-737.230,-587.560,807.775,767.703,824.287,756.878,789.161
37,60.700,-110.0,-141.0,-146.0,-122.0,14.0,15.0,16.0,12.0,-108.6,-140.7,-146.5,-120.4,15.1,15.3,15.9,11.6,-734.948,-586.272,805.693,765.611,822.195,754.802,787.075
38,60.800,-112.0,-140.0,-147.0,-121.0,15.0,16.0,13.0,13.0,-108.9,-140.6,-146.6,-120.7,15.3,15.4,15.6,11.8,-727.931,-587.610,801.946,761.611,818.334,751.041,783.233
39,60.900,-106.0,-143.0,-146.0,-121.0,16.0,15.0,15.0,12.0,-108.6,-140.8,-146.6,-120.6,15.6,15.4,15.5,11.8,-724.544,-586.433,799.229,758.848,815.589,748.330,780.499
40,61.000,-110.0,-142.0,-148.0,-124.0,14.0,16.0,14.0,12.0,-108.6,-140.9,-146.8,-120.8,15.5,15.5,15.3,12.0,-720.960,-587.305,797.424,756.905,813.722,746.517,778.642
41,61.100,-110.0,-141.0,-171.0,-123.0,14.0,15.0,10.0,12.0,-108.8,-140.9,-148.8,-121.4,15.3,15.5,14.6,12.0,-721.565,-605.124,806.876,765.638,822.908,755.856,787.820
42,61.200,-110.0,-141.0,-147.0,-121.0,14.0,15.0,13.0,13.0,-109.0,-141.0,-148.7,-121.5,15.1,15.4,14.1,12.2,-725.443,-613.215,813.440,771.986,829.402,762.374,794.301
