block,time_s,raw_az_N,raw_el_N,smooth_az_N,smooth_el_N,raw_az_S,raw_el_S,smooth_az_S,smooth_el_S,raw_az_E,raw_el_E,smooth_az_E,smooth_el_E,raw_az_W,raw_el_W,smooth_az_W,smooth_el_W,x_est_m,y_est_m,z_est_m,rms_err_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m
0,0,-139,13,-139,13,-167,10,-167,10,125,25,125,25,-157,38,-157,38,322954.154,6256646.656,-14.009,17.009,nan,nan,nan,nan
1,0.1,-138,10,-138,10,-91,10,-91,10,-172,10,-172,10,121,10,121,10,322949.043,6256592.591,5.598,20.703,51.276,14.015,56.02,34.045
2,0.2,44,10,-77.7,11,140,18,-39.3,12.7,-177,10,-74.7,15,53,49,5.7,32.3,322913.549,6256647.446,16.734,11.108,44.995,79.227,69.89,45.473
3,0.3,-179,10,-91,10,-163,10,-38,12.7,-180,10,-176.3,10,148,10,107.3,23,322953.088,6256612.574,5.809,24.689,31.237,33.122,38.323,36.282
4,0.4,147,19,4,13,-163,10,-62,12.7,120,21,-79,13.7,176,10,125.7,23,322939.398,6256612.087,3.118,23.971,34.99,34.47,49.155,22.634
5,0.5,-63,44,-31.7,24.3,-168,10,-164.7,10,132,18,24,16.3,124,10,149.3,10,322955.463,6256600.126,-6.91,20.467,nan,nan,nan,nan
6,0.6,-90,11,-2,24.7,-163,10,-164.7,10,126,35,126,24.7,116,50,138.7,23.3,322952.786,6256622.495,-4.688,24.836,nan,nan,nan,nan
7,0.7,56,10,-32.3,21.7,-95,11,-142,10.3,-62,44,65.3,32.3,102,10,114,23.3,322961.445,6256611.628,-4.506,20.115,nan,nan,nan,nan
8,0.8,-99,12,-44.3,11,-124,13,-127.3,11.3,-171,10,-35.7,29.7,-75,10,47.7,23.3,322973.296,6256626.174,1.187,21.133,24.948,51.031,14.394,59.081
9,0.9,170,13,42.3,11.7,156,28,-21,17.3,-171,10,-134.7,21.3,144,10,57,10,322943.251,6256618.2,6.588,11.174,28.44,39.653,43.144,29.066
10,1,-86,10,-5,11.7,143,19,58.3,20,134,21,-69.3,13.7,84,46,51,22,322964.687,6256624.826,7.285,21.691,21.967,47.262,22.293,51.089
11,1.1,29,10,37.7,11,-167,10,44,19,128,16,30.3,15.7,153,10,127,22,322940.821,6256591.332,-4.298,17.133,nan,nan,nan,nan
12,1.2,-87,10,-48,10,-74,11,-32.7,13.3,-86,10,58.7,15.7,148,10,128.3,22,322941.466,6256615.172,-0.322,20.864,nan,nan,nan,nan
13,1.3,-133,50,-63.7,23.3,-175,10,-138.7,10.3,6,10,16,12,46,50,115.7,23.3,322967.674,6256608.75,-1.694,21.108,nan,nan,nan,nan
14,1.4,54,12,-55.3,24,-85,10,-111.3,10.3,65,45,-5,21.7,102,48,98.7,36,322973.966,6256607.158,-0.932,23.786,nan,nan,nan,nan
