block,time_s,raw_az_N,raw_az_S,raw_az_E,raw_az_W,raw_el_N,raw_el_S,raw_el_E,raw_el_W,smooth_az_N,smooth_az_S,smooth_az_E,smooth_az_W,smooth_el_N,smooth_el_S,smooth_el_E,smooth_el_W,centroid_x_m,centroid_y_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m,mean_dist_m
0,57.000,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,12.0,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,12.0,-496.321,-734.976,761.940,709.850,771.980,712.044,738.953
1,57.100,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.0,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.5,-500.413,-740.833,767.656,715.533,777.702,717.728,744.655
2,57.200,-106.0,-138.0,-146.0,-118.0,16.0,16.0,16.0,11.0,-103.3,-138.0,-146.0,-118.0,15.3,16.0,16.0,11.3,-494.689,-741.562,765.570,713.272,775.481,715.716,742.509
3,57.300,-106.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,10.0,-104.0,-138.0,-146.0,-118.5,15.5,16.0,16.0,11.0,-492.537,-746.215,767.705,715.235,777.504,717.895,744.585
4,57.400,-103.0,-138.0,-146.0,-117.0,16.0,16.0,16.0,10.0,-103.8,-138.0,-146.0,-118.2,15.6,16.0,16.0,10.8,-495.150,-746.517,769.068,716.661,778.919,719.224,745.968
5,57.500,-103.0,-138.0,-146.0,-115.0,16.0,17.0,16.0,12.0,-103.7,-138.0,-146.0,-117.7,15.7,16.2,16.0,11.0,-493.768,-739.941,764.082,711.799,773.996,714.235,741.028
6,57.600,-103.0,-138.0,-143.0,-118.0,16.0,16.0,16.0,11.0,-103.6,-138.0,-145.6,-117.7,15.7,16.1,16.0,11.0,-495.071,-738.542,763.738,711.525,773.700,713.869,740.708
7,57.700,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.0,-103.4,-138.0,-145.6,-117.8,15.6,16.1,16.0,11.0,-496.233,-739.590,764.953,712.746,774.926,715.073,741.925
8,57.800,-102.0,-138.0,-146.0,-120.0,15.0,16.0,16.0,12.0,-103.2,-138.0,-145.7,-118.0,15.6,16.1,16.0,11.1,-495.442,-739.491,764.533,712.307,774.490,714.662,741.498
9,57.900,-106.0,-138.0,-146.0,-118.0,13.0,16.0,16.0,13.0,-103.5,-138.0,-145.7,-118.0,15.3,16.1,16.0,11.3,-494.982,-741.064,765.370,713.093,775.295,715.511,742.317
10,58.000,-104.0,-139.0,-146.0,-116.0,14.0,16.0,16.0,12.0,-103.7,-138.1,-145.7,-117.8,15.2,16.1,16.0,11.3,-495.524,-742.515,766.575,714.277,776.491,716.714,743.514
11,58.100,-106.0,-139.0,-143.0,-118.0,16.0,16.0,16.0,12.0,-104.1,-138.2,-145.4,-117.8,15.3,16.1,16.0,11.4,-493.217,-740.368,764.119,711.811,774.015,714.280,741.056
12,58.200,-107.0,-138.0,-143.0,-120.0,14.0,16.0,16.0,13.0,-104.2,-138.2,-145.1,-118.0,15.1,16.1,16.0,11.6,-493.193,-740.487,764.188,711.876,774.082,714.350,741.124
13,58.300,-107.0,-139.0,-144.0,-119.0,14.0,15.0,17.0,11.0,-104.3,-138.3,-144.9,-117.9,14.9,16.0,16.1,11.7,-494.170,-741.421,765.244,712.936,775.146,715.397,742.181
14,58.400,-107.0,-138.0,-144.0,-117.0,14.0,16.0,17.0,10.0,-104.7,-138.3,-144.7,-117.9,14.7,16.0,16.2,11.7,-494.278,-743.299,766.540,714.188,776.418,716.697,743.460
15,58.500,-109.0,-139.0,-146.0,-118.0,13.0,16.0,16.0,11.0,-105.3,-138.4,-144.7,-118.2,14.4,15.9,16.2,11.6,-495.198,-751.890,772.668,720.133,782.445,722.842,749.522
16,58.600,-107.0,-138.0,-146.0,-118.0,14.0,16.0,16.0,12.0,-105.7,-138.4,-145.0,-118.2,14.2,15.9,16.2,11.7,-493.837,-755.200,774.275,721.625,783.977,724.479,751.089
17,58.700,-107.0,-139.0,-146.0,-120.0,15.0,16.0,16.0,11.0,-106.2,-138.5,-145.0,-118.4,14.2,15.9,16.2,11.7,-491.164,-756.902,774.238,721.476,783.858,724.483,751.014
18,58.800,-108.0,-138.0,-146.0,-117.0,16.0,16.0,16.0,12.0,-106.8,-138.5,-145.0,-118.1,14.3,15.9,16.2,11.7,-489.068,-756.028,772.734,719.937,782.320,723.004,749.499
19,58.900,-108.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,12.0,-107.0,-138.5,-145.0,-118.3,14.6,15.9,16.2,11.6,-486.033,-753.666,769.823,717.000,779.376,720.125,746.581
20,59.000,-106.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,11.0,-107.2,-138.4,-145.0,-118.7,14.8,15.9,16.2,11.5,-483.582,-753.102,768.375,715.500,777.882,718.709,745.117
21,59.100,-106.0,-138.0,-146.0,-121.0,16.0,16.0,14.0,11.0,-107.2,-138.3,-145.3,-119.0,14.8,15.9,16.0,11.4,-484.625,-757.980,772.108,719.147,781.570,722.445,748.817
22,59.200,-107.0,-138.0,-146.0,-121.0,15.0,16.0,16.0,11.0,-107.2,-138.3,-145.6,-119.1,14.9,15.9,16.0,11.2,-484.243,-760.001,773.302,720.285,782.729,723.652,749.992
23,59.300,-110.0,-141.0,-145.0,-118.0,14.0,15.0,14.0,11.0,-107.5,-138.5,-145.7,-119.0,14.9,15.9,15.7,11.2,-485.423,-764.923,777.130,724.031,786.515,727.482,753.789
24,59.400,-110.0,-140.0,-146.0,-118.0,14.0,16.0,16.0,11.0,-107.8,-138.7,-145.9,-119.1,14.9,15.9,15.6,11.3,-482.947,-766.664,777.238,724.035,786.545,727.632,753.863
25,59.500,-110.0,-138.0,-145.0,-121.0,14.0,16.0,14.0,11.0,-107.9,-138.6,-145.8,-119.4,15.0,15.9,15.4,11.3,-483.425,-768.434,778.641,725.410,787.934,729.034,755.255
26,59.600,-110.0,-141.0,-146.0,-119.0,14.0,15.0,15.0,11.0,-108.2,-138.9,-145.8,-119.5,15.0,15.8,15.3,11.2,-483.749,-773.516,782.219,728.885,791.452,732.628,758.796
27,59.700,-110.0,-141.0,-146.0,-122.0,14.0,15.0,16.0,11.0,-108.5,-139.1,-145.8,-119.7,14.9,15.7,15.3,11.2,-482.958,-777.346,784.480,731.041,793.644,734.915,761.020
28,59.800,-109.0,-141.0,-146.0,-118.0,13.0,15.0,16.0,11.0,-108.6,-139.4,-145.8,-119.8,14.6,15.6,15.3,11.1,-485.284,-784.984,790.660,737.115,799.773,741.093,767.160
29,59.900,-109.0,-141.0,-146.0,-122.0,13.0,15.0,16.0,12.0,-108.7,-139.7,-145.8,-120.0,14.3,15.5,15.3,11.1,-486.511,-791.745,795.784,742.126,804.835,746.228,772.243
30,60.000,-110.0,-141.0,-146.0,-122.0,15.0,15.0,16.0,10.0,-109.1,-140.0,-145.8,-120.2,14.2,15.4,15.3,11.0,-485.889,-797.488,799.442,745.648,808.405,749.919,775.853
31,60.100,-108.0,-141.0,-151.0,-117.0,16.0,15.0,17.0,12.0,-109.3,-140.3,-146.3,-119.8,14.2,15.3,15.6,11.1,-480.865,-794.427,795.242,741.386,804.135,745.777,771.635
32,60.200,-108.0,-140.0,-148.0,-120.0,16.0,16.0,18.0,11.0,-109.4,-140.5,-146.5,-119.7,14.3,15.3,15.8,11.1,-476.902,-791.019,791.254,737.368,800.104,741.832,767.639
33,60.300,-109.0,-140.0,-146.0,-121.0,16.0,16.0,16.0,11.0,-109.3,-140.4,-146.6,-120.0,14.5,15.4,16.0,11.1,-472.173,-784.734,784.979,731.106,793.807,735.601,761.373
34,60.400,-106.0,-140.0,-146.0,-120.0,16.0,16.0,16.0,12.0,-108.9,-140.4,-146.6,-120.2,14.7,15.4,16.0,11.2,-470.561,-780.173,781.185,727.367,790.037,731.811,757.600
35,60.500,-108.0,-141.0,-145.0,-120.0,16.0,15.0,14.0,12.0,-108.7,-140.7,-146.6,-120.1,14.9,15.3,16.0,11.3,-469.043,-777.161,778.492,724.699,787.350,729.128,754.917
36,60.600,-109.0,-141.0,-145.0,-122.0,16.0,15.0,14.0,13.0,-108.6,-140.7,-146.5,-120.4,15.1,15.3,15.9,11.5,-466.541,-773.397,774.874,721.098,783.726,725.532,751.307
37,60.700,-110.0,-141.0,-146.0,-122.0,14.0,15.0,16.0,12.0,-108.6,-140.7,-146.5,-120.4,15.1,15.3,15.9,11.6,-465.753,-772.162,773.702,719.931,782.552,724.366,750.138
38,60.800,-112.0,-140.0,-147.0,-121.0,15.0,16.0,13.0,13.0,-108.9,-140.6,-146.6,-120.7,15.3,15.4,15.6,11.8,-462.815,-771.122,771.769,717.946,780.568,722.474,748.189
39,60.900,-106.0,-143.0,-146.0,-121.0,16.0,15.0,15.0,12.0,-108.6,-140.8,-146.6,-120.6,15.6,15.4,15.5,11.8,-462.365,-768.217,769.594,715.822,778.421,720.293,746.033
40,61.000,-110.0,-142.0,-148.0,-124.0,14.0,16.0,14.0,12.0,-108.6,-140.9,-146.8,-120.8,15.5,15.5,15.3,12.0,-461.184,-769.885,770.247,716.408,779.025,720.971,746.663
41,61.100,-110.0,-141.0,-171.0,-123.0,14.0,15.0,10.0,12.0,-108.8,-140.9,-148.8,-121.4,15.3,15.5,14.6,12.0,-459.933,-789.329,783.107,728.831,791.601,733.934,759.368
42,61.200,-110.0,-141.0,-147.0,-121.0,14.0,15.0,13.0,13.0,-109.0,-141.0,-148.7,-121.5,15.1,15.4,14.1,12.2,-464.984,-799.680,792.312,737.954,800.787,743.107,768.540
43,61.300,-110.0,-141.0,-148.0,-123.0,14.0,15.0,16.0,12.0,-109.1,-141.1,-148.9,-121.7,14.9,15.3,14.1,12.3,-464.433,-803.675,794.854,740.403,803.266,745.676,771.050
44,61.400,-110.0,-140.0,-150.0,-121.0,14.0,16.0,15.0,13.0,-109.5,-141.1,-149.3,-121.8,14.7,15.3,14.0,12.4,-463.085,-809.045,798.037,743.449,806.351,748.904,774.185
