block,time_s,raw_az_N,raw_el_N,smooth_az_N,smooth_el_N,raw_az_S,raw_el_S,smooth_az_S,smooth_el_S,raw_az_E,raw_el_E,smooth_az_E,smooth_el_E,raw_az_W,raw_el_W,smooth_az_W,smooth_el_W,x_est_m,y_est_m,z_est_m,rms_err_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m
0,0.000,-138.0,12.0,-138.0,12.0,-168.0,10.0,-168.0,10.0,126.0,25.0,126.0,25.0,-154.0,38.0,-154.0,38.0,322954.662,6256646.974,-14.182,16.393,nan,nan,nan,nan
1,0.100,-138.0,10.0,-138.0,10.0,-90.0,10.0,-90.0,10.0,-172.0,10.0,-172.0,10.0,120.0,10.0,120.0,10.0,322949.150,6256592.830,5.583,20.660,51.027,14.205,55.763,34.051
2,0.200,44.0,10.0,-77.3,10.7,140.0,18.0,-39.3,12.7,-176.0,10.0,-74.0,15.0,54.0,49.0,6.7,32.3,322914.124,6256647.514,16.565,11.467,44.408,78.974,69.305,45.420
3,0.300,-176.0,10.0,-90.0,10.0,-164.0,10.0,-38.0,12.7,-180.0,10.0,-176.0,10.0,148.0,10.0,107.3,23.0,322953.300,6256612.486,5.796,24.663,31.308,33.043,38.228,36.468
4,0.400,148.0,19.0,5.3,13.0,-164.0,10.0,-62.7,12.7,120.0,21.0,-78.7,13.7,176.0,10.0,126.0,23.0,322939.155,6256611.988,3.065,24.028,35.182,34.460,49.409,22.368
5,0.500,-64.0,44.0,-30.7,24.3,-168.0,10.0,-165.3,10.0,132.0,18.0,24.0,16.3,124.0,10.0,149.3,10.0,322955.325,6256599.638,-6.982,20.304,nan,nan,nan,nan
6,0.600,-90.0,11.0,-2.0,24.7,-164.0,10.0,-165.3,10.0,126.0,35.0,126.0,24.7,118.0,49.0,139.3,23.0,322952.449,6256622.933,-4.828,24.813,nan,nan,nan,nan
7,0.700,56.0,10.0,-32.7,21.7,-96.0,10.0,-142.7,10.0,-62.0,44.0,65.3,32.3,102.0,10.0,114.7,23.0,322961.310,6256611.703,-4.535,20.141,nan,nan,nan,nan
8,0.800,-100.0,12.0,-44.7,11.0,-124.0,13.0,-128.0,11.0,-172.0,10.0,-36.0,29.7,-76.0,10.0,48.0,23.0,322973.523,6256626.546,1.246,20.818,24.866,51.465,13.965,59.427
9,0.900,170.0,13.0,42.0,11.7,156.0,28.0,-21.3,17.0,-172.0,10.0,-135.3,21.3,144.0,10.0,56.7,10.0,322943.255,6256618.067,6.504,11.283,28.535,39.510,43.190,28.992
10,1.000,-86.0,10.0,-5.3,11.7,144.0,18.0,58.7,19.7,134.0,21.0,-70.0,13.7,84.0,46.0,50.7,22.0,322964.492,6256624.706,7.184,21.754,21.951,47.079,22.475,50.851
11,1.100,30.0,10.0,38.0,11.0,-164.0,10.0,45.3,18.7,128.0,16.0,30.0,15.7,150.0,10.0,126.0,22.0,322940.989,6256591.534,-4.255,17.253,nan,nan,nan,nan
12,1.200,-88.0,10.0,-48.0,10.0,-74.0,11.0,-31.3,13.0,-86.0,10.0,58.7,15.7,148.0,10.0,127.3,22.0,322941.851,6256615.293,-0.287,20.699,nan,nan,nan,nan
13,1.300,-108.0,28.0,-55.3,16.0,-172.0,10.0,-136.7,10.3,6.0,10.0,16.0,12.0,46.0,49.0,114.7,23.0,322969.528,6256605.797,-1.214,19.396,nan,nan,nan,nan
14,1.400,54.0,12.0,-47.3,16.7,-86.0,10.0,-110.7,10.3,66.0,45.0,-4.7,21.7,102.0,48.0,98.7,35.7,322974.975,6256604.334,-0.398,22.215,nan,nan,nan,nan
15,1.500,128.0,22.0,24.7,20.7,-164.0,10.0,-140.7,10.0,-170.0,10.0,-32.7,21.7,140.0,10.0,96.0,35.7,322963.485,6256617.603,1.554,23.703,26.980,39.468,27.106,47.120
