block,time_s,raw_az_N,raw_az_S,raw_az_E,raw_az_W,raw_el_N,raw_el_S,raw_el_E,raw_el_W,smooth_az_N,smooth_az_S,smooth_az_E,smooth_az_W,smooth_el_N,smooth_el_S,smooth_el_E,smooth_el_W,local_x_m,local_y_m,rms_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m
0,57.000,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,12.0,-146.0,-146.0,-146.0,-146.0,15.0,17.0,15.0,16.0,-342.635,-515.018,17.412,530.898,478.927,540.953,481.124
1,57.100,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.0,-146.0,-146.0,-146.0,-146.0,15.0,17.0,15.0,15.5,-298.871,-452.380,17.787,464.860,412.916,474.927,415.116
2,57.200,-106.0,-138.0,-146.0,-118.0,16.0,16.0,16.0,11.0,-147.3,-146.0,-146.0,-146.0,15.3,17.0,15.0,15.3,-332.698,-506.930,16.859,520.188,468.012,530.113,470.472
3,57.300,-106.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,10.0,-148.0,-146.0,-146.0,-146.5,15.5,17.0,15.0,15.0,-336.429,-517.619,15.908,529.553,477.201,539.367,479.879
4,57.400,-103.0,-138.0,-146.0,-117.0,16.0,16.0,16.0,10.0,-147.8,-146.0,-146.0,-146.2,15.6,17.0,15.0,14.8,-268.178,-415.855,17.054,424.062,371.872,433.936,374.470
5,57.500,-103.0,-138.0,-146.0,-115.0,16.0,17.0,16.0,12.0,-148.0,-146.0,-146.0,-145.6,15.8,17.2,15.0,14.8,-147.162,-238.800,18.053,239.709,188.058,249.651,190.642
6,57.600,-103.0,-138.0,-143.0,-118.0,16.0,16.0,16.0,11.0,-148.2,-146.0,-145.4,-145.6,16.0,17.2,15.0,14.8,-156.071,-250.780,17.749,252.577,200.945,262.555,203.428
7,57.700,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.0,-147.4,-146.0,-145.4,-145.6,15.8,17.2,15.0,14.8,-177.117,-279.231,17.879,282.908,231.265,292.959,233.568
8,57.800,-102.0,-138.0,-146.0,-120.0,15.0,16.0,16.0,12.0,-146.6,-146.0,-145.4,-145.6,15.6,17.2,15.0,15.2,-227.838,-349.567,17.878,357.536,305.833,367.649,307.960
9,57.900,-106.0,-138.0,-146.0,-118.0,13.0,16.0,16.0,13.0,-147.2,-146.0,-145.4,-145.8,15.0,17.2,15.0,15.8,-319.640,-483.909,16.356,497.617,445.612,507.634,447.891
10,58.000,-104.0,-139.0,-146.0,-116.0,14.0,16.0,16.0,12.0,-147.4,-146.2,-145.4,-146.0,14.6,17.0,15.0,15.8,-314.068,-478.336,16.172,490.631,438.512,500.600,440.903
11,58.100,-106.0,-139.0,-143.0,-118.0,16.0,16.0,16.0,12.0,-148.0,-146.4,-145.4,-146.0,14.6,17.0,15.0,16.0,-261.283,-404.929,16.374,412.972,360.835,422.872,363.387
