block,time_s,raw_az_N,raw_az_S,raw_az_E,raw_az_W,raw_el_N,raw_el_S,raw_el_E,raw_el_W,smooth_az_N,smooth_az_S,smooth_az_E,smooth_az_W,smooth_el_N,smooth_el_S,smooth_el_E,smooth_el_W,local_x_m,local_y_m,rms_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m
0,57.000,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,12.0,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,12.0,54.358,7.360,9.998,45.618,85.319,22.661,93.572
1,57.100,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.0,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.5,54.362,7.350,9.918,45.619,85.314,22.659,93.571
2,57.200,-106.0,-138.0,-146.0,-118.0,16.0,16.0,16.0,11.0,-103.3,-138.0,-146.0,-118.0,15.3,16.0,16.0,11.3,55.294,8.427,9.949,46.514,86.491,23.781,94.672
3,57.300,-106.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,10.0,-104.0,-138.0,-146.0,-118.5,15.5,16.0,16.0,11.0,55.971,9.446,9.912,47.202,87.503,24.701,95.563
4,57.400,-103.0,-138.0,-146.0,-117.0,16.0,16.0,16.0,10.0,-103.8,-138.0,-146.0,-118.2,15.6,16.0,16.0,10.8,55.673,8.969,9.887,46.894,87.039,24.283,95.159
5,57.500,-103.0,-138.0,-146.0,-115.0,16.0,17.0,16.0,12.0,-104.0,-138.0,-146.0,-117.6,15.8,16.2,16.0,10.8,55.387,8.434,9.998,46.590,86.540,23.849,94.742
6,57.600,-103.0,-138.0,-143.0,-118.0,16.0,16.0,16.0,11.0,-104.2,-138.0,-145.4,-117.6,16.0,16.2,16.0,10.8,56.118,8.940,9.939,47.256,87.237,24.587,95.476
7,57.700,-102.0,-138.0,-146.0,-118.0,15.0,16.0,16.0,11.0,-103.4,-138.0,-145.4,-117.6,15.8,16.2,16.0,10.8,55.578,8.299,9.895,46.731,86.543,23.929,94.831
8,57.800,-102.0,-138.0,-146.0,-120.0,15.0,16.0,16.0,12.0,-102.6,-138.0,-145.4,-117.6,15.6,16.2,16.0,11.2,55.079,7.703,9.900,46.250,85.900,23.322,94.235
9,57.900,-106.0,-138.0,-146.0,-118.0,13.0,16.0,16.0,13.0,-103.2,-138.0,-145.4,-117.8,15.0,16.2,16.0,11.8,55.535,8.337,10.047,46.701,86.548,23.915,94.815
10,58.000,-104.0,-139.0,-146.0,-116.0,14.0,16.0,16.0,12.0,-103.4,-138.2,-145.4,-118.0,14.6,16.0,16.0,11.8,55.691,8.755,9.934,46.881,86.904,24.203,95.090
11,58.100,-106.0,-139.0,-143.0,-118.0,16.0,16.0,16.0,12.0,-104.0,-138.4,-145.4,-118.0,14.6,16.0,16.0,12.0,55.970,9.267,9.927,47.178,87.384,24.623,95.494
12,58.200,-107.0,-138.0,-143.0,-120.0,14.0,16.0,16.0,13.0,-105.0,-138.4,-144.8,-118.4,14.4,16.0,16.0,12.4,57.457,10.835,9.988,48.621,89.160,26.361,97.196
13,58.300,-107.0,-139.0,-144.0,-119.0,14.0,15.0,17.0,11.0,-106.0,-138.6,-144.4,-118.2,14.2,15.8,16.2,12.2,58.553,11.879,9.835,49.680,90.395,27.596,98.409
14,58.400,-107.0,-138.0,-144.0,-117.0,14.0,16.0,17.0,10.0,-106.2,-138.6,-144.0,-118.0,14.4,15.8,16.4,11.6,59.165,12.174,9.673,50.228,90.894,28.156,98.973
15,58.500,-109.0,-139.0,-146.0,-118.0,13.0,16.0,16.0,11.0,-107.2,-138.6,-144.0,-118.4,14.2,15.8,16.4,11.4,60.173,13.507,9.686,51.279,92.280,29.464,100.238
16,58.600,-107.0,-138.0,-146.0,-118.0,14.0,16.0,16.0,12.0,-107.4,-138.4,-144.6,-118.4,13.8,15.8,16.4,11.4,59.640,13.161,9.896,50.784,91.786,28.936,99.711
17,58.700,-107.0,-139.0,-146.0,-120.0,15.0,16.0,16.0,11.0,-107.4,-138.6,-145.2,-118.4,14.0,15.8,16.4,11.0,58.790,12.758,9.816,50.023,91.100,28.164,98.931
18,58.800,-108.0,-138.0,-146.0,-117.0,16.0,16.0,16.0,12.0,-107.6,-138.4,-145.6,-118.0,14.4,16.0,16.2,11.2,58.165,12.047,10.094,49.392,90.318,27.404,98.192
19,58.900,-108.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,12.0,-107.8,-138.4,-146.0,-118.6,14.8,16.0,16.0,11.6,58.321,12.723,10.139,49.635,90.848,27.826,98.575
20,59.000,-106.0,-138.0,-146.0,-120.0,16.0,16.0,16.0,11.0,-107.2,-138.2,-146.0,-119.0,15.4,16.0,16.0,11.6,58.427,12.761,10.096,49.728,90.924,27.916,98.667
21,59.100,-106.0,-138.0,-146.0,-121.0,16.0,16.0,14.0,11.0,-107.0,-138.2,-146.0,-119.6,15.8,16.0,15.6,11.4,58.477,13.145,10.044,49.837,91.207,28.132,98.858
22,59.200,-107.0,-138.0,-146.0,-121.0,15.0,16.0,16.0,11.0,-107.0,-138.0,-146.0,-119.8,15.8,16.0,15.6,11.4,58.703,13.326,10.125,50.053,91.438,28.371,99.095
23,59.300,-110.0,-141.0,-145.0,-118.0,14.0,15.0,14.0,11.0,-107.4,-138.6,-145.8,-120.0,15.4,15.8,15.2,11.2,58.858,14.048,9.835,50.314,91.998,28.824,99.499
24,59.400,-110.0,-140.0,-146.0,-118.0,14.0,16.0,16.0,11.0,-107.8,-139.0,-145.8,-119.6,15.0,15.8,15.2,11.0,58.575,13.930,9.711,50.062,91.782,28.576,99.246
25,59.500,-110.0,-138.0,-145.0,-121.0,14.0,16.0,14.0,11.0,-108.6,-139.0,-145.6,-119.8,14.6,15.8,14.8,11.0,59.274,14.828,9.808,50.802,92.725,29.484,100.117
26,59.600,-110.0,-141.0,-146.0,-119.0,14.0,15.0,15.0,11.0,-109.4,-139.6,-145.6,-119.4,14.2,15.6,15.0,11.0,59.270,15.209,9.591,50.877,92.980,29.671,100.271
27,59.700,-110.0,-141.0,-146.0,-122.0,14.0,15.0,16.0,11.0,-110.0,-140.2,-145.6,-119.6,14.0,15.4,15.0,11.0,59.459,16.094,9.323,51.214,93.668,30.241,100.772
28,59.800,-109.0,-141.0,-146.0,-118.0,13.0,15.0,16.0,11.0,-109.8,-140.2,-145.8,-119.6,13.8,15.4,15.4,11.0,59.223,15.874,9.300,50.978,93.406,29.974,100.511
29,59.900,-109.0,-141.0,-146.0,-122.0,13.0,15.0,16.0,12.0,-109.6,-140.4,-145.8,-120.4,13.6,15.2,15.4,11.2,59.634,16.824,9.100,51.515,94.245,30.730,101.201
30,60.000,-110.0,-141.0,-146.0,-122.0,15.0,15.0,16.0,10.0,-109.6,-141.0,-146.0,-120.6,13.8,15.0,15.8,11.0,59.333,17.166,8.689,51.352,94.334,30.714,101.129
31,60.100,-108.0,-141.0,-151.0,-117.0,16.0,15.0,17.0,12.0,-109.2,-141.0,-147.0,-120.2,14.2,15.0,16.2,11.2,57.891,15.811,8.773,49.894,92.727,29.075,99.526
32,60.200,-108.0,-140.0,-148.0,-120.0,16.0,16.0,18.0,11.0,-108.8,-140.8,-147.4,-119.8,14.6,15.2,16.6,11.2,57.197,14.792,8.904,49.121,91.706,28.097,98.604
