block,time_s,raw_az_L,raw_el_L,raw_az_R,raw_el_R,smooth_az_L,smooth_el_L,smooth_az_R,smooth_el_R,mid_X_local_m,mid_Y_local_m,dist_L_m,dist_R_m,avg_dist_m
0,3436.600,-92.0,68.0,-100.0,60.0,-92.0,68.0,-100.0,60.0,-402.449,-37.795,776.148,782.657,779.402
1,3436.700,-92.0,68.0,-100.0,60.0,-92.0,68.0,-100.0,60.0,-402.449,-37.795,776.148,782.657,779.402
2,3436.800,-92.0,68.0,-100.0,60.0,-92.0,68.0,-100.0,60.0,-402.449,-37.795,776.148,782.657,779.402
3,3436.900,-92.0,68.0,-96.0,64.0,-92.0,68.0,-99.0,61.0,-393.421,-32.257,772.786,779.168,775.977
4,3437.000,-92.0,68.0,-100.0,60.0,-92.0,68.0,-99.2,60.8,-395.221,-33.336,773.449,779.857,776.653
5,3437.100,-92.0,64.0,-100.0,60.0,-92.0,67.3,-99.3,60.7,-402.160,-34.135,775.930,782.427,779.178
6,3437.200,-92.0,68.0,-100.0,60.0,-92.0,67.4,-99.4,60.6,-402.196,-34.648,775.958,782.457,779.207
7,3437.300,-92.0,68.0,-100.0,64.0,-92.0,67.5,-99.5,61.0,-397.437,-34.341,774.259,780.697,777.478
8,3437.400,-92.0,68.0,-100.0,64.0,-92.0,67.6,-99.6,61.3,-393.759,-34.099,772.958,779.349,776.154
9,3437.500,-92.0,68.0,-100.0,60.0,-92.0,67.6,-99.6,61.2,-394.614,-34.457,773.269,779.672,776.470
10,3437.600,-88.0,68.0,-100.0,64.0,-91.6,67.6,-99.6,61.5,-391.880,-33.138,772.273,778.637,775.455
11,3437.700,-96.0,68.0,-100.0,64.0,-92.0,67.7,-99.7,61.7,-389.593,-34.067,771.504,777.841,774.672
12,3437.800,-96.0,68.0,-96.0,64.0,-92.3,67.7,-99.4,61.8,-387.832,-33.643,770.880,777.194,774.037
13,3437.900,-96.0,68.0,-96.0,64.0,-92.6,67.7,-99.1,62.0,-386.318,-33.292,770.346,776.640,773.493
14,3438.000,-96.0,72.0,-100.0,64.0,-92.8,68.0,-99.2,62.1,-382.572,-33.969,769.080,775.327,772.203
15,3438.100,-92.0,72.0,-96.0,64.0,-92.8,68.2,-99.0,62.2,-379.456,-32.842,767.983,774.188,771.086
16,3438.200,-96.0,72.0,-96.0,68.0,-92.9,68.5,-98.8,62.6,-374.509,-32.253,766.294,772.432,769.363
17,3438.300,-92.0,76.0,-96.0,68.0,-92.9,68.9,-98.7,62.9,-368.264,-31.043,764.174,770.228,767.201
18,3438.400,-84.0,72.0,-96.0,64.0,-92.4,69.1,-98.5,62.9,-366.440,-29.084,763.518,769.544,766.531
19,3438.500,-88.0,76.0,-96.0,68.0,-92.2,69.4,-98.4,63.2,-361.261,-27.647,761.782,767.736,764.759
20,3438.600,-88.0,76.0,-96.0,68.0,-92.0,69.7,-98.3,63.4,-356.592,-26.376,760.236,766.125,763.181
21,3438.700,-88.0,76.0,-96.0,68.0,-91.8,70.0,-98.2,63.6,-352.361,-25.245,758.851,764.681,761.766
22,3438.800,-84.0,76.0,-96.0,68.0,-91.5,70.3,-98.1,63.8,-348.510,-23.771,757.595,763.368,760.481
23,3438.900,-84.0,76.0,-84.0,68.0,-91.2,70.5,-97.5,64.0,-345.188,-20.655,756.485,762.207,759.346
24,3439.000,-88.0,76.0,-96.0,68.0,-91.0,70.7,-97.4,64.2,-341.941,-19.959,755.457,761.133,758.295
25,3439.100,-88.0,76.0,-96.0,68.0,-90.9,70.9,-97.4,64.3,-338.950,-19.327,754.518,760.151,757.335
26,3439.200,-88.0,76.0,-96.0,68.0,-90.8,71.1,-97.3,64.4,-336.187,-18.751,753.657,759.251,756.454
27,3439.300,-88.0,76.0,-96.0,68.0,-90.7,71.3,-97.3,64.6,-333.626,-18.223,752.865,758.422,755.643
28,3439.400,-88.0,76.0,-96.0,68.0,-90.6,71.4,-97.2,64.7,-331.245,-17.738,752.133,757.657,754.895
29,3439.500,-72.0,76.0,-92.0,72.0,-90.0,71.6,-97.1,64.9,-327.859,-15.395,751.076,756.548,753.812
30,3439.600,-72.0,76.0,-92.0,72.0,-89.4,71.7,-96.9,65.2,-324.683,-13.242,750.099,755.521,752.810
31,3439.700,-72.0,80.0,-92.0,72.0,-88.9,72.0,-96.8,65.4,-320.683,-11.298,748.892,754.253,751.573
32,3439.800,-68.0,80.0,-92.0,72.0,-88.2,72.2,-96.6,65.6,-316.909,-9.233,747.767,753.070,750.418
33,3439.900,-68.0,80.0,-92.0,76.0,-87.6,72.5,-96.5,65.9,-312.316,-7.243,746.421,751.654,749.038
34,3440.000,-68.0,80.0,-92.0,76.0,-87.1,72.7,-96.3,66.2,-307.989,-5.416,745.172,750.340,747.756
35,3440.100,-68.0,80.0,-92.0,76.0,-86.6,72.9,-96.2,66.4,-303.904,-3.733,744.011,749.116,746.563
36,3440.200,-68.0,80.0,-96.0,76.0,-86.1,73.1,-96.2,66.7,-300.015,-2.523,742.920,747.967,745.444
37,3440.300,-68.0,80.0,-92.0,76.0,-85.6,73.3,-96.1,66.9,-296.362,-1.073,741.909,746.899,744.404
38,3440.400,-56.0,80.0,-84.0,76.0,-84.8,73.4,-95.8,67.2,-292.877,1.581,740.956,745.889,743.423
39,3440.500,-56.0,80.0,-84.0,76.0,-84.1,73.6,-95.5,67.4,-289.551,4.046,740.063,744.941,742.502
40,3440.600,-64.0,80.0,-92.0,76.0,-83.6,73.8,-95.4,67.6,-286.390,5.330,739.222,744.051,741.636
41,3440.700,-76.0,84.0,-88.0,76.0,-83.4,74.0,-95.2,67.8,-282.733,6.105,738.257,743.030,740.643
42,3440.800,-76.0,84.0,-84.0,76.0,-83.3,74.2,-95.0,68.0,-279.271,7.100,737.356,742.076,739.716
43,3440.900,-60.0,84.0,-96.0,76.0,-82.7,74.5,-95.0,68.2,-275.812,7.961,736.465,741.132,738.799
44,3441.000,-52.0,84.0,-84.0,80.0,-82.0,74.7,-94.8,68.4,-271.745,9.936,735.441,740.042,737.741
45,3441.100,-80.0,84.0,-92.0,80.0,-82.0,74.9,-94.7,68.7,-268.026,10.067,734.502,739.048,736.775
46,3441.200,-92.0,88.0,-104.0,80.0,-82.2,75.1,-94.9,68.9,-263.848,8.856,733.450,737.937,735.693
47,3441.300,-40.0,88.0,-108.0,76.0,-81.3,75.4,-95.2,69.1,-260.197,9.499,732.558,736.988,734.773
48,3441.400,-52.0,84.0,-96.0,80.0,-80.7,75.6,-95.2,69.3,-256.763,10.459,731.733,736.109,733.921
49,3441.500,-52.0,84.0,-112.0,80.0,-80.2,75.8,-95.5,69.5,-253.406,10.472,730.927,735.252,733.090
50,3441.600,-52.0,84.0,-96.0,80.0,-79.6,75.9,-95.5,69.7,-250.243,11.333,730.186,734.461,732.323
51,3441.700,-40.0,84.0,-84.0,80.0,-78.8,76.1,-95.3,69.9,-247.158,13.172,729.484,733.707,731.595
52,3441.800,-12.0,84.0,-80.0,84.0,-77.6,76.2,-95.0,70.2,-243.346,16.071,728.641,732.798,730.720
53,3441.900,-12.0,84.0,-80.0,84.0,-76.4,76.4,-94.7,70.4,-239.644,18.783,727.841,731.934,729.887
54,3442.000,-12.0,84.0,-80.0,84.0,-75.2,76.5,-94.5,70.7,-236.049,21.322,727.080,731.111,729.095
55,3442.100,0.0,84.0,-80.0,84.0,-73.9,76.6,-94.2,70.9,-232.447,24.060,726.339,730.308,728.323
56,3442.200,12.0,84.0,-100.0,84.0,-72.4,76.8,-94.3,71.2,-228.776,26.088,725.585,729.491,727.538
57,3442.300,0.0,84.0,-92.0,88.0,-71.1,76.9,-94.3,71.4,-224.770,28.022,724.772,728.611,726.691
58,3442.400,12.0,84.0,-80.0,84.0,-69.7,77.0,-94.0,71.7,-221.331,30.626,724.115,727.893,726.004
59,3442.500,0.0,84.0,-56.0,84.0,-68.5,77.1,-93.4,71.9,-218.142,33.726,723.543,727.263,725.403
60,3442.600,12.0,84.0,-40.0,84.0,-67.2,77.2,-92.5,72.1,-214.905,37.571,723.006,726.664,724.835
61,3442.700,0.0,84.0,-12.0,84.0,-66.1,77.4,-91.2,72.3,-211.856,41.969,722.551,726.150,724.351
62,3442.800,12.0,84.0,-40.0,84.0,-64.9,77.5,-90.4,72.4,-208.707,45.360,722.060,725.600,723.830
63,3442.900,20.0,80.0,-40.0,84.0,-63.6,77.5,-89.6,72.6,-205.946,48.960,721.675,725.161,723.418
64,3443.000,36.0,80.0,-40.0,84.0,-62.0,77.5,-88.9,72.8,-203.018,52.729,721.285,724.714,723.000
65,3443.100,36.0,80.0,-40.0,84.0,-60.5,77.6,-88.1,73.0,-200.113,56.301,720.911,724.283,722.597
66,3443.200,36.0,80.0,-40.0,88.0,-59.1,77.6,-87.4,73.2,-196.756,59.657,720.459,723.768,722.113
67,3443.300,36.0,80.0,-40.0,88.0,-57.7,77.6,-86.7,73.4,-193.445,62.828,720.025,723.273,721.649
68,3443.400,20.0,80.0,0.0,84.0,-56.6,77.7,-85.4,73.6,-190.735,66.819,719.773,722.966,721.369
69,3443.500,36.0,80.0,-40.0,88.0,-55.3,77.7,-84.8,73.8,-187.507,69.632,719.371,722.504,720.938
70,3443.600,36.0,80.0,0.0,84.0,-53.4,77.9,-83.4,74.1,-181.609,73.845,718.616,721.642,720.129
71,3443.700,36.0,80.0,0.0,84.0,-51.6,78.1,-81.9,74.5,-175.645,77.791,717.880,720.798,719.339
72,3443.800,36.0,80.0,0.0,84.0,-49.8,78.2,-80.5,74.8,-169.625,81.470,717.161,719.971,718.566
73,3443.900,36.0,80.0,0.0,84.0,-47.9,78.4,-79.1,75.1,-164.023,84.868,716.533,719.242,717.888
74,3444.000,36.0,80.0,12.0,84.0,-46.1,78.6,-77.5,75.4,-157.841,88.347,715.864,718.462,717.163
75,3444.100,48.0,76.0,88.0,88.0,-44.1,78.7,-74.9,75.8,-150.451,93.545,715.219,717.681,716.450
76,3444.200,48.0,76.0,12.0,84.0,-42.1,78.9,-73.3,76.2,-144.262,96.865,714.643,716.993,715.818
77,3444.300,48.0,76.0,12.0,84.0,-40.1,79.0,-71.7,76.5,-138.451,100.053,714.151,716.396,715.274
78,3444.400,48.0,76.0,12.0,84.0,-38.1,79.1,-70.1,76.7,-132.596,102.981,713.671,715.810,714.740
