block,time_s,raw_az_L,raw_el_L,raw_az_R,raw_el_R,smooth_az_L,smooth_el_L,smooth_az_R,smooth_el_R,mid_easting_m,mid_northing_m,dist_L_m,dist_R_m
0,3436.600,-92.0,68.0,-100.0,60.0,-92.0,68.0,-100.0,60.0,286974.674,6228818.175,776.148,782.657
0,3436.600,-92.0,68.0,-100.0,60.0,-92.0,68.0,-100.0,60.0,286974.674,6228818.175,776.148,782.657
0,3436.600,-92.0,68.0,-100.0,60.0,-92.0,68.0,-100.0,60.0,286974.674,6228818.175,776.148,782.657
0,3436.600,-92.0,68.0,-96.0,64.0,-92.0,68.0,-96.0,64.0,287003.906,6228835.421,763.382,769.386
0,3436.600,-92.0,68.0,-100.0,60.0,-92.0,68.0,-100.0,60.0,286974.674,6228818.175,776.148,782.657
1,3436.700,-92.0,64.0,-100.0,60.0,-92.0,66.0,-100.0,60.0,286960.262,6228817.672,782.465,789.190
2,3436.800,-92.0,68.0,-100.0,60.0,-92.0,66.7,-100.0,60.0,286965.114,6228817.842,780.314,786.967
3,3436.900,-92.0,68.0,-100.0,64.0,-92.0,67.0,-100.0,61.0,286975.464,6228819.326,775.753,782.246
4,3437.000,-92.0,68.0,-100.0,64.0,-92.0,67.2,-100.0,61.6,286981.594,6228820.203,773.105,779.503
5,3437.100,-92.0,68.0,-100.0,60.0,-92.0,67.3,-100.0,61.3,286980.472,6228819.870,773.595,780.011
6,3437.200,-88.0,68.0,-100.0,64.0,-91.4,67.4,-100.0,61.7,286984.077,6228821.868,771.984,778.338
7,3437.300,-96.0,68.0,-100.0,64.0,-92.0,67.5,-100.0,62.0,286986.843,6228820.825,770.877,777.192
8,3437.400,-96.0,68.0,-96.0,64.0,-92.4,67.6,-99.6,62.2,286988.752,6228821.429,770.056,776.340
9,3437.500,-96.0,68.0,-96.0,64.0,-92.8,67.6,-99.2,62.4,286990.291,6228821.899,769.398,775.657
10,3437.600,-96.0,72.0,-100.0,64.0,-93.1,68.0,-99.3,62.5,286994.327,6228821.274,767.771,773.969
11,3437.700,-92.0,72.0,-96.0,64.0,-93.0,68.3,-99.0,62.7,286997.465,6228822.623,766.434,772.578
12,3437.800,-96.0,72.0,-96.0,68.0,-93.2,68.6,-98.8,63.1,287002.498,6228823.378,764.377,770.440
13,3437.900,-92.0,76.0,-96.0,68.0,-93.1,69.1,-98.6,63.4,287008.755,6228824.799,761.839,767.799
14,3438.000,-84.0,72.0,-96.0,64.0,-92.5,69.3,-98.4,63.5,287010.225,6228826.835,761.180,767.110
15,3438.100,-88.0,76.0,-96.0,68.0,-92.2,69.8,-98.2,63.8,287015.163,6228828.364,759.205,765.051
16,3438.200,-88.0,76.0,-96.0,68.0,-92.0,70.1,-98.1,64.0,287019.505,6228829.678,757.494,763.266
17,3438.300,-88.0,76.0,-96.0,68.0,-91.8,70.4,-98.0,64.2,287023.352,6228830.819,755.999,761.704
18,3438.400,-84.0,76.0,-96.0,68.0,-91.4,70.7,-97.9,64.4,287026.773,6228832.268,754.670,760.314
19,3438.500,-84.0,76.0,-84.0,68.0,-91.0,71.0,-97.2,64.6,287029.622,6228835.267,753.522,759.110
20,3438.600,-88.0,76.0,-96.0,68.0,-90.9,71.2,-97.1,64.8,287032.422,6228835.907,752.475,758.015
21,3438.700,-88.0,76.0,-96.0,68.0,-90.7,71.5,-97.1,64.9,287034.961,6228836.479,751.534,757.029
22,3438.800,-88.0,76.0,-96.0,68.0,-90.6,71.7,-97.0,65.0,287037.276,6228836.994,750.683,756.138
23,3438.900,-88.0,76.0,-96.0,68.0,-90.5,71.8,-97.0,65.2,287039.393,6228837.459,749.911,755.329
24,3439.000,-88.0,76.0,-96.0,68.0,-90.4,72.0,-97.0,65.3,287041.338,6228837.881,749.206,754.591
25,3439.100,-72.0,76.0,-92.0,72.0,-89.7,72.2,-96.8,65.5,287044.207,6228840.038,748.140,753.468
26,3439.200,-72.0,76.0,-92.0,72.0,-89.0,72.3,-96.6,65.8,287046.873,6228842.000,747.163,752.440
27,3439.300,-72.0,80.0,-92.0,72.0,-88.4,72.6,-96.4,66.0,287050.316,6228843.766,745.935,751.148
28,3439.400,-68.0,80.0,-92.0,72.0,-87.7,72.8,-96.3,66.2,287053.534,6228845.626,744.800,749.952
29,3439.500,-68.0,80.0,-92.0,76.0,-87.1,73.1,-96.1,66.5,287057.506,6228847.419,743.429,748.506
30,3439.600,-68.0,80.0,-92.0,76.0,-86.5,73.3,-96.0,66.8,287061.222,6228849.052,742.168,747.175
31,3439.700,-68.0,80.0,-92.0,76.0,-85.9,73.5,-95.9,67.1,287064.704,6228850.543,741.004,745.946
32,3439.800,-68.0,80.0,-96.0,76.0,-85.3,73.7,-95.9,67.4,287068.004,6228851.602,739.920,744.801
33,3439.900,-68.0,80.0,-92.0,76.0,-84.8,73.9,-95.8,67.6,287071.078,6228852.869,738.922,743.745
34,3440.000,-56.0,80.0,-84.0,76.0,-84.0,74.1,-95.4,67.9,287073.980,6228855.196,737.989,742.752
35,3440.100,-56.0,80.0,-84.0,76.0,-83.2,74.2,-95.1,68.1,287076.737,6228857.344,737.119,741.826
36,3440.200,-64.0,80.0,-92.0,76.0,-82.7,74.4,-95.0,68.3,287079.354,6228858.441,736.305,740.962
37,3440.300,-76.0,84.0,-88.0,76.0,-82.5,74.6,-94.8,68.5,287082.427,6228859.091,735.359,739.959
38,3440.400,-76.0,84.0,-84.0,76.0,-82.4,74.9,-94.6,68.7,287085.317,6228859.933,734.482,739.027
39,3440.500,-60.0,84.0,-96.0,76.0,-81.8,75.1,-94.6,68.9,287088.206,6228860.652,733.616,738.107
40,3440.600,-52.0,84.0,-84.0,80.0,-81.1,75.3,-94.3,69.2,287091.626,6228862.351,732.610,737.034
41,3440.700,-80.0,84.0,-92.0,80.0,-81.0,75.5,-94.3,69.4,287094.750,6228862.445,731.696,736.062
42,3440.800,-92.0,88.0,-104.0,80.0,-81.3,75.8,-94.5,69.7,287098.300,6228861.381,730.663,734.969
43,3440.900,-40.0,88.0,-108.0,76.0,-80.4,76.1,-94.8,69.8,287101.354,6228861.903,729.797,734.046
44,3441.000,-52.0,84.0,-96.0,80.0,-79.7,76.3,-94.8,70.0,287104.205,6228862.713,729.002,733.196
45,3441.100,-52.0,84.0,-112.0,80.0,-79.1,76.4,-95.2,70.3,287106.999,6228862.705,728.227,732.369
46,3441.200,-52.0,84.0,-96.0,80.0,-78.6,76.6,-95.2,70.5,287109.607,6228863.427,727.519,731.610
47,3441.300,-40.0,84.0,-84.0,80.0,-77.8,76.8,-95.0,70.7,287112.133,6228864.984,726.851,730.890
48,3441.400,-12.0,84.0,-80.0,84.0,-76.4,76.9,-94.7,70.9,287115.293,6228867.447,726.038,730.010
49,3441.500,-12.0,84.0,-80.0,84.0,-75.1,77.0,-94.4,71.2,287118.356,6228869.743,725.270,729.176
50,3441.600,-12.0,84.0,-80.0,84.0,-73.9,77.2,-94.1,71.5,287121.324,6228871.884,724.542,728.385
51,3441.700,0.0,84.0,-80.0,84.0,-72.5,77.3,-93.8,71.7,287124.295,6228874.186,723.834,727.614
52,3441.800,12.0,84.0,-100.0,84.0,-70.9,77.4,-94.0,71.9,287127.334,6228875.876,723.113,726.829
53,3441.900,0.0,84.0,-92.0,88.0,-69.6,77.6,-93.9,72.2,287130.668,6228877.495,722.333,725.980
54,3442.000,12.0,84.0,-80.0,84.0,-68.1,77.7,-93.7,72.4,287133.492,6228879.666,721.711,725.297
55,3442.100,0.0,84.0,-56.0,84.0,-66.9,77.8,-93.0,72.6,287136.087,6228882.252,721.175,724.702
56,3442.200,12.0,84.0,-40.0,84.0,-65.5,77.9,-92.1,72.8,287138.715,6228885.458,720.674,724.139
57,3442.300,0.0,84.0,-12.0,84.0,-64.3,78.0,-90.7,73.0,287141.172,6228889.124,720.257,723.661
58,3442.400,12.0,84.0,-40.0,84.0,-63.1,78.1,-89.8,73.2,287143.727,6228891.934,719.802,723.146
59,3442.500,20.0,80.0,-40.0,84.0,-61.7,78.1,-89.0,73.4,287145.943,6228894.925,719.452,722.743
60,3442.600,36.0,80.0,-40.0,84.0,-60.1,78.2,-88.2,73.6,287148.303,6228898.049,719.097,722.330
61,3442.700,36.0,80.0,-40.0,84.0,-58.5,78.2,-87.4,73.7,287150.645,6228901.004,718.757,721.934
62,3442.800,36.0,80.0,-40.0,88.0,-57.0,78.2,-86.7,74.0,287153.385,6228903.777,718.339,721.452
