X,Y,Z
5.852271374315023422e+00,-2.411092596900061835e-01,-4.656842926517128944e+00
5.852378779090940952e+00,-2.411092596900061835e-01,-4.656659040600061417e+00
5.844785687513649464e+00,-2.411092596900061835e-01,-4.669441131874918938e+00
5.844805520027875900e+00,-2.411092596900061835e-01,-4.669684123247861862e+00
5.855075847357511520e+00,-2.411092596900061835e-01,-4.679103562608361244e+00
5.855284736491739750e+00,-2.411092596900061835e-01,-4.681242229416966438e+00
5.857086023315787315e+00,-2.411092596900061835e-01,-4.678770333528518677e+00
5.857778864912688732e+00,-2.411092596900061835e-01,-4.680405840277671814e+00
5.857424878515303135e+00,-2.411092596900061835e-01,-4.674968289211392403e+00
5.858693061396479607e+00,-2.411092596900061835e-01,-4.674615645781159401e+00
5.867678255774080753e+00,-2.411092596900061835e-01,-4.677732899785041809e+00
5.869023174047470093e+00,-2.411092596900061835e-01,-4.676898436620831490e+00
5.865328725427389145e+00,-2.411092596900061835e-01,-4.682980453595519066e+00
5.864954105578362942e+00,-2.411092596900061835e-01,-4.685457816347479820e+00
5.864295087754726410e+00,-2.411092596900061835e-01,-4.683234294876456261e+00
5.864399316720664501e+00,-2.411092596900061835e-01,-4.684149241074919701e+00
5.865310586057603359e+00,-2.411092596900061835e-01,-4.683716477826237679e+00
5.865574345923960209e+00,-2.411092596900061835e-01,-4.684790667146444321e+00
5.865018662996590137e+00,-2.411092596900061835e-01,-4.681820388883352280e+00
5.865291729569435120e+00,-2.411092596900061835e-01,-4.683105096220970154e+00
5.864048998802900314e+00,-2.411092596900061835e-01,-4.683115342631936073e+00
5.863624261692166328e+00,-2.411092596900061835e-01,-4.684667939320206642e+00
5.866290851496160030e+00,-2.411092596900061835e-01,-4.683435840532183647e+00
5.869188638404011726e+00,-2.411092596900061835e-01,-4.685109011828899384e+00
5.867961375042796135e+00,-2.411092596900061835e-01,-4.681100847199559212e+00
5.869027567096054554e+00,-2.411092596900061835e-01,-4.680240781977772713e+00
5.866489789448678493e+00,-2.411092596900061835e-01,-4.678435266017913818e+00
5.867330795153975487e+00,-2.411092596900061835e-01,-4.677173616364598274e+00
5.867723804898560047e+00,-2.411092596900061835e-01,-4.679017473012208939e+00
5.869618427939713001e+00,-2.411092596900061835e-01,-4.678503606468439102e+00
5.853242971003055573e+00,-2.411092596900061835e-01,-4.675059856846928596e+00
5.852814354002475739e+00,-2.411092596900061835e-01,-4.676450522616505623e+00
5.856102910824120045e+00,-2.411092596900061835e-01,-4.677521171048283577e+00
5.863214323297142982e+00,-2.411092596900061835e-01,-4.678412251174449921e+00
5.867811192758381367e+00,8.697474031001206640e-02,-4.673602009192109108e+00
5.880216646939516068e+00,4.150587403100018946e-01,-4.668110882863402367e+00
5.901861381717026234e+00,7.431427403099917228e-01,-4.668226042762398720e+00
5.913027524016797543e+00,1.399310740309999801e+00,-4.666596917435526848e+00
5.915604614652693272e+00,2.055478740310007879e+00,-4.667546415701508522e+00
5.928657042793929577e+00,3.039730740310005785e+00,-4.663259346038103104e+00
5.947722957469522953e+00,4.352066740309993520e+00,-4.664342273026704788e+00
5.965581149794161320e+00,5.336318740309991426e+00,-4.664093406870961189e+00
5.988960099406540394e+00,5.992486740309999504e+00,-4.631775354966521263e+00
6.019225120544433594e+00,6.648654740310007583e+00,-4.617876216769218445e+00
6.035012921318411827e+00,7.304822740310015661e+00,-4.593595907092094421e+00
6.063182930462062359e+00,7.632906740310005489e+00,-4.579716410487890244e+00
6.051988222636282444e+00,7.632906740310005489e+00,-4.579847009852528572e+00
6.064974891021847725e+00,7.632906740310005489e+00,-4.572186894714832306e+00
6.046736394986510277e+00,7.632906740310005489e+00,-4.589453129097819328e+00
6.033650335855782032e+00,7.632906740310005489e+00,-4.586123507469892502e+00
6.012357071973383427e+00,7.632906740310005489e+00,-4.584211176261305809e+00
6.004651311784982681e+00,7.632906740310005489e+00,-4.582989949733018875e+00
6.039227194152772427e+00,7.632906740310005489e+00,-4.577040852978825569e+00
6.043626579456031322e+00,7.632906740310005489e+00,-4.580083956941962242e+00
6.054057122208178043e+00,7.632906740310005489e+00,-4.584114182740449905e+00
6.056701810099184513e+00,7.632906740310005489e+00,-4.588242486119270325e+00
6.053821320645511150e+00,7.632906740310005489e+00,-4.571152731776237488e+00
6.052545844577252865e+00,7.632906740310005489e+00,-4.574176631867885590e+00
6.049955653958022594e+00,7.632906740310005489e+00,-4.571796368807554245e+00
6.047372058965265751e+00,7.632906740310005489e+00,-4.575923362746834755e+00
6.041018087416887283e+00,7.632906740310005489e+00,-4.584946481510996819e+00
6.038625613786280155e+00,7.632906740310005489e+00,-4.588426001369953156e+00
6.042096428573131561e+00,7.632906740310005489e+00,-4.582990216091275215e+00
6.038885032758116722e+00,7.632906740310005489e+00,-4.585579408332705498e+00
6.041411159560084343e+00,7.632906740310005489e+00,-4.581795746460556984e+00
6.039147645235061646e+00,7.632906740310005489e+00,-4.582952398806810379e+00
6.031901642680168152e+00,7.632906740310005489e+00,-4.571904363110661507e+00
6.029449300840497017e+00,7.632906740310005489e+00,-4.568054264411330223e+00
6.031925717368721962e+00,7.632906740310005489e+00,-4.564544122666120529e+00
6.029272838495671749e+00,7.632906740310005489e+00,-4.558476626873016357e+00
6.028544072993099689e+00,7.632906740310005489e+00,-4.545291222631931305e+00
6.026722168549895287e+00,7.632906740310005489e+00,-4.538950204849243164e+00
6.019889656454324722e+00,7.632906740310005489e+00,-4.539446797221899033e+00
6.017664834856987000e+00,7.632906740310005489e+00,-4.535105627030134201e+00
6.018919746391475201e+00,7.632906740310005489e+00,-4.542681278660893440e+00
6.016907210461795330e+00,7.632906740310005489e+00,-4.541170630604028702e+00
6.008938776329159737e+00,7.632906740310005489e+00,-4.541571302339434624e+00
6.007422722876071930e+00,7.632906740310005489e+00,-4.542482445016503334e+00
6.008917789906263351e+00,7.632906740310005489e+00,-4.544826973229646683e+00
6.006718924269080162e+00,7.632906740310005489e+00,-4.546700354665517807e+00
6.018413308076560497e+00,7.632906740310005489e+00,-4.551383983343839645e+00
6.015839485451579094e+00,7.632906740310005489e+00,-4.554543271660804749e+00
6.011967988684773445e+00,7.632906740310005489e+00,-4.565310601145029068e+00
6.010162307880818844e+00,7.632906740310005489e+00,-4.569442298263311386e+00
6.012954382225871086e+00,7.632906740310005489e+00,-4.568518459796905518e+00
6.011958812363445759e+00,7.632906740310005489e+00,-4.574141681194305420e+00
6.007154500111937523e+00,7.632906740310005489e+00,-4.581276811659336090e+00
6.006195547990500927e+00,7.632906740310005489e+00,-4.585680672898888588e+00
5.998653862625360489e+00,7.632906740310005489e+00,-4.590895090252161026e+00
5.995076352730393410e+00,7.632906740310005489e+00,-4.592245873063802719e+00
5.995524914935231209e+00,7.632906740310005489e+00,-4.586396532133221626e+00
5.991432964801788330e+00,7.632906740310005489e+00,-4.586863355711102486e+00
5.993156605400145054e+00,7.632906740310005489e+00,-4.582910444587469101e+00
5.987585193477571011e+00,7.632906740310005489e+00,-4.579159084707498550e+00
5.988747894763946533e+00,7.632906740310005489e+00,-4.559755647554993629e+00
5.983481163159012794e+00,7.632906740310005489e+00,-4.555898064747452736e+00
5.977416856214404106e+00,7.632906740310005489e+00,-4.551992082968354225e+00
5.970320356078445911e+00,7.632906740310005489e+00,-4.546629762277007103e+00
5.964104786515235901e+00,7.632906740310005489e+00,-4.542110670357942581e+00
5.959266747348010540e+00,7.632906740310005489e+00,-4.539541693404316902e+00
5.953801945783197880e+00,7.632906740310005489e+00,-4.539938203990459442e+00
5.951374528929591179e+00,7.632906740310005489e+00,-4.537994066253304482e+00
5.951669626869261265e+00,7.632906740310005489e+00,-4.536445112898945808e+00
5.950458194129168987e+00,7.632906740310005489e+00,-4.535155143588781357e+00
5.951071811839938164e+00,7.632906740310005489e+00,-4.537093732506036758e+00
5.951314879581332207e+00,7.632906740310005489e+00,-4.537639221176505089e+00
5.955443192273378372e+00,7.632906740310005489e+00,-4.541053462773561478e+00
5.956237391568720341e+00,7.632906740310005489e+00,-4.543303616344928741e+00
5.955683346837759018e+00,7.632906740310005489e+00,-4.544695926830172539e+00
5.956805590540170670e+00,7.632906740310005489e+00,-4.548805953934788704e+00
5.957091328687965870e+00,7.632906740310005489e+00,-4.553499853238463402e+00
5.956862123683094978e+00,7.632906740310005489e+00,-4.556776449084281921e+00
5.958186076022684574e+00,7.632906740310005489e+00,-4.557008732110261917e+00
5.958049411885440350e+00,7.632906740310005489e+00,-4.560451826080679893e+00
5.955755721777677536e+00,7.632906740310005489e+00,-4.560574719682335854e+00
5.954330044798552990e+00,7.632906740310005489e+00,-4.564745921641588211e+00
5.951984841376543045e+00,7.632906740310005489e+00,-4.568484343588352203e+00
5.950570660643279552e+00,7.632906740310005489e+00,-4.574399333447217941e+00
5.948853820562362671e+00,7.632906740310005489e+00,-4.579597659409046173e+00
5.947372666560113430e+00,7.632906740310005489e+00,-4.585364416241645813e+00
5.947705150581896305e+00,7.632906740310005489e+00,-4.590965747833251953e+00
5.945217454805970192e+00,7.632906740310005489e+00,-4.597042337059974670e+00
5.941242770291864872e+00,7.632906740310005489e+00,-4.602815102785825729e+00
5.938839020207524300e+00,7.632906740310005489e+00,-4.607949512079358101e+00
5.935990752652287483e+00,7.632906740310005489e+00,-4.611536020413041115e+00
5.936712880618870258e+00,7.960990740309995317e+00,-4.616915309801697731e+00
5.937336837872862816e+00,7.960990740309995317e+00,-4.623364148661494255e+00
5.941445407457649708e+00,7.960990740309995317e+00,-4.627255339175462723e+00
5.950956505723297596e+00,7.960990740309995317e+00,-4.632235454395413399e+00
5.958074384368956089e+00,7.960990740309995317e+00,-4.635196529328823090e+00
5.967856728471815586e+00,7.960990740309995317e+00,-4.639487354084849358e+00
5.977702782489359379e+00,7.960990740309995317e+00,-4.640751946717500687e+00
5.988504496403038502e+00,7.960990740309995317e+00,-4.646168798208236694e+00
6.000807675532996655e+00,7.960990740309995317e+00,-4.646997969597578049e+00
6.013402754440903664e+00,7.960990740309995317e+00,-4.661289272829890251e+00
6.028796004131436348e+00,7.960990740309995317e+00,-4.664621340110898018e+00
6.037781901657581329e+00,7.960990740309995317e+00,-4.677088480442762375e+00
6.055340568535029888e+00,7.960990740309995317e+00,-4.682880040258169174e+00
6.064201954752206802e+00,7.960990740309995317e+00,-4.702129496261477470e+00
6.073972013778984547e+00,7.960990740309995317e+00,-4.708092749118804932e+00
6.087922563776373863e+00,7.960990740309995317e+00,-4.735349010676145554e+00
6.094008357264101505e+00,7.960990740309995317e+00,-4.743269642814993858e+00
6.109607741236686707e+00,7.960990740309995317e+00,-4.765045665204524994e+00
6.114334185607731342e+00,7.960990740309995317e+00,-4.781799636781215668e+00
6.138609372079372406e+00,7.960990740309995317e+00,-4.802936855703592300e+00
6.146876567974686623e+00,7.960990740309995317e+00,-4.818868827074766159e+00
6.165038994513452053e+00,7.960990740309995317e+00,-4.805632388219237328e+00
6.170512444339692593e+00,7.960990740309995317e+00,-4.819960897788405418e+00
6.178810057230293751e+00,7.960990740309995317e+00,-4.808866627514362335e+00
6.181174403056502342e+00,7.960990740309995317e+00,-4.813871409744024277e+00
6.183413987047970295e+00,7.960990740309995317e+00,-4.798592509701848030e+00
