X,Y,Z
-5.204487368115223944e+00,3.883132813498377800e-01,-8.279800264953252054e-02
-5.204764324356801808e+00,3.885307023301720619e-01,-8.279800264953252054e-02
-5.205220283591188490e+00,3.888007169589400291e-01,-8.279800264953252054e-02
-5.203901015920564532e+00,3.926533916965126991e-01,-8.279800264953252054e-02
-5.203582705056760460e+00,3.932688981294631958e-01,-8.279800264953252054e-02
-5.202853331924416125e+00,3.991108322516083717e-01,-8.279800264953252054e-02
-5.212895335978828371e+00,3.951628552749752998e-01,-8.279800264953252054e-02
-5.212165260862093419e+00,4.033644236624240875e-01,-8.279800264953252054e-02
-5.212670055450871587e+00,3.958029886707663536e-01,-8.279800264953252054e-02
-5.212097560055553913e+00,4.030702309682965279e-01,-8.279800264953252054e-02
-5.212594670942053199e+00,3.948149979114532471e-01,-8.279800264953252054e-02
-5.211286920297425240e+00,4.000951433554291725e-01,-8.279800264953252054e-02
-5.209556862013414502e+00,4.036283930763602257e-01,-8.279800264953252054e-02
-5.209457015269435942e+00,3.978782808408141136e-01,-8.279800264953252054e-02
-5.211320127767976373e+00,3.956177579239010811e-01,-8.279800264953252054e-02
-5.209959947154857218e+00,4.014411242678761482e-01,-8.279800264953252054e-02
-5.211081849411129951e+00,3.911644136533141136e-01,-8.279800264953252054e-02
-5.208605642197653651e+00,3.982156524434685707e-01,-8.279800264953252054e-02
-5.212456928391475230e+00,3.930657552555203438e-01,-8.279800264953252054e-02
-5.212470886181108654e+00,3.981649493798613548e-01,-8.279800264953252054e-02
-5.224998465739190578e+00,3.916829414665699005e-01,-8.279800264953252054e-02
-5.226479729288257658e+00,3.962245592847466469e-01,1.720200055046916532e-02
-5.229869944858364761e+00,3.945035571232438087e-01,1.720200055046916532e-02
-5.230969583848491311e+00,3.781980006024241447e-01,1.172020037504708512e-01
-5.241490618267562240e+00,3.615072565153241158e-01,2.172020069504654316e-01
-5.248245763825252652e+00,3.525715535506606102e-01,3.172020101504671175e-01
-5.255640321294777095e+00,3.334394078701734543e-01,4.172020133504688033e-01
-5.259010118956211954e+00,3.385705305263400078e-01,6.172020197504650696e-01
-5.262894206040073186e+00,3.180498713627457619e-01,9.172020293504701272e-01
-5.265833244542591274e+00,3.183388458564877510e-01,1.217202038950475185e+00
-5.270962089765816927e+00,3.118041260167956352e-01,1.617202051750467717e+00
-5.290446776140015572e+00,2.612056257203221321e-01,2.017202064550467355e+00
-5.300953276804648340e+00,2.280148053541779518e-01,2.417202077350466993e+00
-5.317956883693113923e+00,1.712744981050491333e-01,2.717202086950472051e+00
-5.328939845785498619e+00,1.265231082215905190e-01,3.017202096550470003e+00
-5.339099789795000106e+00,9.574366640299558640e-02,3.317202106150467955e+00
-5.331738653127104044e+00,9.956306871026754379e-02,3.517202112550471327e+00
-5.339411280117928982e+00,8.451741747558116913e-02,3.617202115750465907e+00
-5.337695038237143308e+00,4.734930954873561859e-02,3.717202118950474699e+00
-5.342507320980075747e+00,3.250198718160390854e-02,3.817202122150469279e+00
-5.330715196207165718e+00,2.814210020005702972e-03,3.817202122150469279e+00
-5.327320561918895692e+00,-2.511241100728511810e-02,3.817202122150469279e+00
-5.322344262385740876e+00,-4.707954917103052139e-02,3.817202122150469279e+00
-5.319152174051851034e+00,-4.121957253664731979e-02,3.817202122150469279e+00
-5.326099713391158730e+00,-2.360094990581274033e-02,3.817202122150469279e+00
-5.326495537650771439e+00,-2.986212074756622314e-02,3.817202122150469279e+00
-5.329476010345388204e+00,-1.178512722253799438e-02,3.717202118950474699e+00
-5.332574936212040484e+00,-6.982774473726749420e-03,3.717202118950474699e+00
-5.329855730640701950e+00,2.214427944272756577e-02,3.717202118950474699e+00
-5.327912347682286054e+00,2.868393436074256897e-02,3.717202118950474699e+00
-5.315704588545486331e+00,4.914735443890094757e-02,3.717202118950474699e+00
-5.312466136994771659e+00,5.970078893005847931e-02,3.717202118950474699e+00
-5.308061893330886960e+00,7.019544113427400589e-02,3.717202118950474699e+00
-5.310902045923285186e+00,7.774419337511062622e-02,3.717202118950474699e+00
-5.306616692803800106e+00,8.003005292266607285e-02,3.717202118950474699e+00
-5.300601861265022308e+00,8.358541876077651978e-02,3.717202118950474699e+00
-5.295634345966391265e+00,9.565597306936979294e-02,3.817202122150469279e+00
-5.292502673109993339e+00,9.777755197137594223e-02,3.817202122150469279e+00
-5.298415803816169500e+00,1.031822981312870979e-01,3.817202122150469279e+00
-5.296065020083915442e+00,1.069329064339399338e-01,3.817202122150469279e+00
-5.290592156234197319e+00,1.192375076934695244e-01,3.817202122150469279e+00
-5.289846842759288847e+00,1.234793383628129959e-01,3.817202122150469279e+00
-5.289077573397662491e+00,1.326507441699504852e-01,3.817202122150469279e+00
-5.295547859277576208e+00,1.530902897939085960e-01,3.817202122150469279e+00
-5.295900117955170572e+00,1.546899322420358658e-01,3.817202122150469279e+00
-5.298522271041292697e+00,1.604303168132901192e-01,3.817202122150469279e+00
-5.295441344729624689e+00,1.624020421877503395e-01,3.817202122150469279e+00
-5.294956161524169147e+00,1.651953076943755150e-01,3.817202122150469279e+00
-5.296347620082087815e+00,1.698298910632729530e-01,3.817202122150469279e+00
-5.297497780120465904e+00,1.749361855909228325e-01,3.817202122150469279e+00
-5.299341480131261051e+00,1.766740558668971062e-01,3.817202122150469279e+00
-5.307118633878417313e+00,1.843681633472442627e-01,3.817202122150469279e+00
-5.305719177704304457e+00,1.886218516156077385e-01,3.817202122150469279e+00
-5.299945007427595556e+00,1.999311586841940880e-01,3.817202122150469279e+00
-5.301674527698196471e+00,1.947902226820588112e-01,3.817202122150469279e+00
-5.298935171216726303e+00,1.993718259036540985e-01,3.817202122150469279e+00
-5.294142600439954549e+00,2.025427883490920067e-01,3.817202122150469279e+00
-5.293025993043556809e+00,2.024572072550654411e-01,3.817202122150469279e+00
-5.294880742789246142e+00,2.014743061736226082e-01,3.817202122150469279e+00
-5.295004426036030054e+00,2.019887603819370270e-01,3.817202122150469279e+00
-5.285643838229589164e+00,2.040380844846367836e-01,3.817202122150469279e+00
-5.288048394373618066e+00,1.968723060563206673e-01,3.817202122150469279e+00
-5.289581494173035026e+00,1.952008707448840141e-01,3.817202122150469279e+00
-5.288241662783548236e+00,1.989057315513491631e-01,3.817202122150469279e+00
-5.285286791506223381e+00,2.135731028392910957e-01,3.817202122150469279e+00
-5.285176715173292905e+00,2.159024206921458244e-01,3.817202122150469279e+00
-5.288093269569799304e+00,2.151051778346300125e-01,3.817202122150469279e+00
-5.289211637922562659e+00,2.152584828436374664e-01,3.817202122150469279e+00
-5.278061823570169508e+00,2.132958760485053062e-01,3.817202122150469279e+00
-5.277600430592428893e+00,2.143776966258883476e-01,3.817202122150469279e+00
-5.265626564272679389e+00,2.115152915939688683e-01,3.817202122150469279e+00
-5.264153474709019065e+00,2.129687285050749779e-01,3.817202122150469279e+00
-5.259510415489785373e+00,2.121319258585572243e-01,3.817202122150469279e+00
-5.247061130590736866e+00,2.111627534031867981e-01,3.817202122150469279e+00
-5.253280588774941862e+00,2.217499269172549248e-01,3.817202122150469279e+00
-5.249822005396708846e+00,2.215122077614068985e-01,3.817202122150469279e+00
-5.245582747622393072e+00,2.205867413431406021e-01,3.817202122150469279e+00
-5.243429489026311785e+00,2.204144364222884178e-01,3.817202122150469279e+00
-5.238413020735606551e+00,2.108273496851325035e-01,3.817202122150469279e+00
-5.236155362799763680e+00,2.105303397402167320e-01,3.817202122150469279e+00
-5.239960197592154145e+00,2.126097911968827248e-01,3.817202122150469279e+00
-5.240754548285622150e+00,2.135413521900773048e-01,3.817202122150469279e+00
-5.241683301865123212e+00,2.125604283064603806e-01,3.817202122150469279e+00
-5.251021472446154803e+00,2.265719985589385033e-01,3.817202122150469279e+00
-5.252221418777480721e+00,2.267092596739530563e-01,3.817202122150469279e+00
-5.252016544807702303e+00,2.257288647815585136e-01,3.817202122150469279e+00
-5.250573222292587161e+00,2.232547765597701073e-01,3.817202122150469279e+00
-5.252024110697675496e+00,2.231070362031459808e-01,3.817202122150469279e+00
-5.249215706018730998e+00,2.342963432893157005e-01,3.817202122150469279e+00
-5.248069494031369686e+00,2.353223087266087532e-01,3.817202122150469279e+00
-5.248135475092567503e+00,2.394620357081294060e-01,3.817202122150469279e+00
-5.254464422585442662e+00,2.398999640718102455e-01,3.817202122150469279e+00
-5.255907147773541510e+00,2.417118130251765251e-01,3.817202122150469279e+00
-5.262378286337479949e+00,2.416257159784436226e-01,3.817202122150469279e+00
-5.269815562875010073e+00,2.500001257285475731e-01,3.817202122150469279e+00
-5.276119501562789083e+00,2.511710943654179573e-01,3.817202122150469279e+00
-5.284900533966720104e+00,2.480701645836234093e-01,3.817202122150469279e+00
-5.288974838564172387e+00,2.490724995732307434e-01,3.817202122150469279e+00
-5.280440741800703108e+00,2.571069626137614250e-01,3.817202122150469279e+00
-5.279884565970860422e+00,2.584566855803132057e-01,3.817202122150469279e+00
-5.277328427764587104e+00,2.559176925569772720e-01,3.817202122150469279e+00
-5.275946961308363825e+00,2.568277185782790184e-01,3.817202122150469279e+00
